slug,companyURL,companyMembersURL,companyNameNAICS,LinkedIn Company Name,employeesCount,LinkedIn Company IDs
cbuphotography,https://www.linkedin.com/company/cbuphotography/,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2271307590%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CALIFORNIA BAPTIST UNIVERSITY,CBU Photography,11,71307590
california-creative-solutions-ccs-,https://www.linkedin.com/company/california-creative-solutions-ccs-,https://www.linkedin.com/search/results/people/?currentCompany=%5B%22344299%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CALIFORNIA CREATIVE SOLUTIONS INC,CCS Global Tech,295,344299
caltrans---california-department-of-transportation,https://www.linkedin.com/company/caltrans---california-department-of-transportation,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2257911864%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CALIFORNIA DEPT OF TRANSPORTATION,Caltrans - California Department of Transportation,265,57911864
california-iso,https://www.linkedin.com/company/california-iso,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2210072%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CALIFORNIA INDEPENDENT SYSTEM OPER,California ISO,763,10072
jet-propulsion-laboratory,https://www.linkedin.com/company/jet-propulsion-laboratory,https://www.linkedin.com/search/results/people/?currentCompany=%5B%222004%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CALIFORNIA INSTITUTE OF TECHNOLOGY,NASA Jet Propulsion Laboratory,8706,2004
california-rehabilitation-and-sports-therapy,https://www.linkedin.com/company/california-rehabilitation-and-sports-therapy,https://www.linkedin.com/search/results/people/?currentCompany=%5B%222015935%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CALIFORNIA SPORTS PHYSICAL THERAPY,California Rehabilitation and Sports Therapy,174,2015935
california-state-university-bakersfield-student-health-services,https://www.linkedin.com/company/california-state-university-bakersfield-student-health-services,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2262748185%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CALIFORNIA STATE UNIV BAKERSFIELD,CALIFORNIA STATE UNIVERSITY BAKERSFIELD STUDENT …,1,62748185
california-state-university-chancellor%27s-office,https://www.linkedin.com/company/california-state-university-chancellor%27s-office,https://www.linkedin.com/search/results/people/?currentCompany=%5B%22241550%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CALIFORNIA STATE UNIV LOS ANGELES,"California State University, Office of the Chancellor",776,241550
california-state-university-northridge-csun,https://www.linkedin.com/company/california-state-university-northridge-csun,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2265005959%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CALIFORNIA STATE UNIV NORTHRIDGE,"California State University, Northridge (CSUN)",30,65005959
chico-state-construction-management-department,https://www.linkedin.com/company/chico-state-construction-management-department,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2242865256%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CALIFORNIA STATE UNIVERSITY CHICO,Chico State Construction Management Department,1,42865256
caliper-corporation,https://www.linkedin.com/company/caliper-corporation,https://www.linkedin.com/search/results/people/?currentCompany=%5B%22209992%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CALIPER CORPORATION,Caliper Corporation,38,209992
calix,https://www.linkedin.com/company/calix,https://www.linkedin.com/search/results/people/?currentCompany=%5B%228495%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CALIX INC,Calix,1734,8495
callaway-golf,https://www.linkedin.com/company/callaway-golf,https://www.linkedin.com/search/results/people/?currentCompany=%5B%228217%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CALLAWAY GOLF SALES COMPANY,Callaway Golf,2429,8217
callisto-media,https://www.linkedin.com/company/callisto-media,https://www.linkedin.com/search/results/people/?currentCompany=%5B%223331159%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CALLISTO MEDIA INC,Callisto Media,211,3331159
calm-com,https://www.linkedin.com/company/calm-com,https://www.linkedin.com/search/results/people/?currentCompany=%5B%223832633%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CALM INC,Calm,575,3832633
calpine,https://www.linkedin.com/company/calpine,https://www.linkedin.com/search/results/people/?currentCompany=%5B%226392%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CALPINE CORPORATION,Calpine,2045,6392
calypso-technology,https://in.linkedin.com/company/calypso-technology,https://www.linkedin.com/search/results/people/?currentCompany=%5B%229125%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CALYPSO TECHNOLOGY INC,Calypso Technology,734,9125
cambia-health-solutions,https://www.linkedin.com/company/cambia-health-solutions,https://www.linkedin.com/search/results/people/?currentCompany=%5B%222394593%22%2C%223129470%22%2C%222630462%22%2C%223129474%22%2C%22166401%22%2C%223129476%22%2C%223129478%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CAMBIA HEALTH SOLUTIONS INC,Cambia Health Solutions,4200,2394593|3129470|2630462|3129474|166401|3129476|3129478
cambrex,https://www.linkedin.com/company/cambrex,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2213418%22%2C%226473797%22%2C%22146447%22%2C%225848103%22%2C%2211138387%22%2C%221019051%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CAMBREX CHARLES CITY INC,Cambrex,1732,13418|6473797|146447|5848103|11138387|1019051
cambriasolutions,https://www.linkedin.com/company/cambriasolutions,https://www.linkedin.com/search/results/people/?currentCompany=%5B%22288886%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CAMBRIA SOLUTIONS INC,Cambria Solutions,47,288886
moriincorporated,https://www.linkedin.com/company/moriincorporated,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2227144072%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CAMBRIDGE CROPS INC DBA MORI,Mori,98,27144072
cambridge-mobile-telematics,https://www.linkedin.com/company/cambridge-mobile-telematics,https://www.linkedin.com/search/results/people/?currentCompany=%5B%225224218%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CAMBRIDGE MOBILE TELEMATICS INC,Cambridge Mobile Telematics,423,5224218
cambridge-public-health-commission-dba-cambridge-health-alliance,https://www.linkedin.com/company/cambridge-public-health-commission-dba-cambridge-health-alliance,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2259993557%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CAMBRIDGE PUBLIC HEALTH COMMISSION,CAMBRIDGE PUBLIC HEALTH …,1,59993557
cameron,https://www.linkedin.com/company/cameron,https://www.linkedin.com/search/results/people/?currentCompany=%5B%22162873%22%2C%222579351%22%2C%223713535%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CAMERON INTERNATIONAL CORPORATION,"Cameron, a Schlumberger company",15057,162873|2579351|3713535
campbell-soup-company,https://www.linkedin.com/company/campbell-soup-company,https://www.linkedin.com/search/results/people/?currentCompany=%5B%224513%22%2C%22419641%22%2C%2210714%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CAMPBELL SOUP COMPANY,Campbell Soup Company,9557,4513|419641|10714
cana-technologies,https://in.linkedin.com/company/cana-technologies,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2251618637%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CANA TECHNOLOGY INC,"Cana Technology, Inc.",48,51618637
canaccord-financial,https://www.linkedin.com/company/canaccord-financial,https://www.linkedin.com/search/results/people/?currentCompany=%5B%227564%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CANACCORD GENUITY LLC,Canaccord Genuity Group Inc.,889,7564
canadian-solar-inc-,https://www.linkedin.com/company/canadian-solar-inc-,https://www.linkedin.com/search/results/people/?currentCompany=%5B%22307886%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CANADIAN SOLAR SSES US INC,Canadian Solar Inc.,1798,307886
syneron,https://www.linkedin.com/company/syneron,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2243295%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CANDELA CORP DBA SYNERON CANDELA,Syneron Candela,366,43295
franklin-dental-care-ca,https://www.linkedin.com/company/franklin-dental-care-ca,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2280978203%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CANDLER ROAD DENTAL PC DBA FRANKLIN DENTAL,Franklin Dental Care,1,80978203
candor-group-inc,https://www.linkedin.com/company/candor-group-inc,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2279297083%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CANDOR GROUP INC,Candor Group Inc.,4,79297083
candor-ps,https://www.linkedin.com/company/candor-ps,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2218382380%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CANDOR PS LLC,Candor PS,6,18382380
cannon,https://www.linkedin.com/company/cannon,https://www.linkedin.com/search/results/people/?currentCompany=%5B%221367630%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CANNON CORPORATION,Cannon Corporation,17,1367630
canoo,https://www.linkedin.com/company/canoo/,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2214015617%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CANOO TECHNOLOGIES INC,Canoo,779,14015617
canopy-one-solutions-inc,https://www.linkedin.com/company/canopy-one-solutions-inc,https://www.linkedin.com/search/results/people/?currentCompany=%5B%222336815%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CANOPY ONE SOLUTIONS INC,Canopy One Solutions Inc,177,2336815
we-are-canvas,https://www.linkedin.com/company/we-are-canvas,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2218425170%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CANVAS CONSTRUCTION INC,Canvas,71,18425170
cape-cod-healthcare,https://www.linkedin.com/company/cape-cod-healthcare,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2244150%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CAPE COD HOSPITAL INC SUBSIDIARY O,Cape Cod Healthcare,1811,44150
capgemini,https://www.linkedin.com/company/capgemini/,https://www.linkedin.com/search/results/people/?currentCompany=%5B%22157240%22%2C%221956%22%2C%228643%22%2C%222536505%22%2C%222229436%22%2C%2274255%22%2C%221075%22%2C%2287513%22%2C%22163711%22%2C%221128879%22%2C%22505336%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CAPGEMINI AMERICA INC,Capgemini,287275,157240|1956|8643|2536505|2229436|74255|1075|87513|163711|1128879|505336
capital-blue-cross,https://www.linkedin.com/company/capital-blue-cross,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2221312%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CAPITAL BLUE CROSS,Capital Blue Cross,1693,21312
capital-group,https://www.linkedin.com/company/capital-group,https://www.linkedin.com/search/results/people/?currentCompany=%5B%224019%22%2C%222463427%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CAPITAL GROUP COMPANIES GLOBAL,Capital Group,8796,4019|2463427
capital-one,https://www.linkedin.com/company/capital-one,https://www.linkedin.com/search/results/people/?currentCompany=%5B%221419%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CAPITAL ONE SERVICES LLC,Capital One,54708,1419
capitalg,https://www.linkedin.com/company/capitalg,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2217876832%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CAPITALG MGMT COMPANY LLC,CapitalG,99,17876832
capitissolutions,https://www.linkedin.com/company/capitissolutions,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2211149725%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CAPITIS SOLUTIONS INC,Capitis Solutions,10,11149725
capsquare-systems,https://www.linkedin.com/company/capsquare-systems,https://www.linkedin.com/search/results/people/?currentCompany=%5B%221051381%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CAPSQUARE SYSTEMS INC,Capsquare Systems,10,1051381
capstone-health-services-foundation,https://www.linkedin.com/company/capstone-health-services-foundation,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2215350240%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CAPSTONE HEALTH SERVICES FOUNDATION,CAPSTONE HEALTH SERVICES FOUNDATION,3,15350240
capstoneheadwaters,https://in.linkedin.com/company/capstoneheadwaters,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2236093%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CAPSTONE INVESTMENT ADVISORS LLC,Capstone Partners,228,36093
carbo-culture,https://www.linkedin.com/company/carbo-culture,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2234679637%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CARBO CULTURE INC.,Carbo Culture,26,34679637
carbon-health,https://www.linkedin.com/company/carbon-health,https://www.linkedin.com/search/results/people/?currentCompany=%5B%227943612%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CARBON HEALTH TECHNOLOGIES INC,Carbon Health,1209,7943612
carbon,https://www.linkedin.com/company/carbon,https://www.linkedin.com/search/results/people/?currentCompany=%5B%224802576%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CARBON INC,Carbon,547,4802576
cardinal-health,https://www.linkedin.com/company/cardinal-health,https://www.linkedin.com/search/results/people/?currentCompany=%5B%222162%22%2C%221206022%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CARDINAL HEALTH INC,Cardinal Health,31262,2162|1206022
cardiotek-perfusion-services-inc,https://www.linkedin.com/company/cardiotek-perfusion-services-inc,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2254174056%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CARDIOTEK PERFUSION SERVICES,"CARDIOTEK PERFUSION SERVICES, INC",8,54174056
cardless,https://www.linkedin.com/company/cardless,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2240854440%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CARDLESS INC,Cardless,44,40854440
cardlytics,https://www.linkedin.com/company/cardlytics,https://www.linkedin.com/search/results/people/?currentCompany=%5B%22208544%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CARDLYTICS INC,Cardlytics,482,208544
cardwell-construction-co.-inc.,https://www.linkedin.com/company/cardwell-construction-co.-inc.,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2211043210%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CARDWELL ENGINEERING SOLUTIONS,"Cardwell Construction Co., Inc.",4,11043210
care-com,https://www.linkedin.com/company/care-com,https://www.linkedin.com/search/results/people/?currentCompany=%5B%22157258%22%2C%222824888%22%2C%222640390%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CARE COM INC,Care.com,10562,157258|2824888|2640390
care-it-services-inc,https://www.linkedin.com/company/care-it-services-inc,https://www.linkedin.com/search/results/people/?currentCompany=%5B%229325611%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CARE IT SERVICES INC,CARE IT Services Inc,18,9325611
carecentrix,https://www.linkedin.com/company/carecentrix,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2299360%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CARECENTRIX INC,CareCentrix,1528,99360
careerbuildercom,https://www.linkedin.com/company/careerbuildercom,https://www.linkedin.com/search/results/people/?currentCompany=%5B%224162%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CAREERBUILDER LLC,CareerBuilder,1740,4162
caremark-cvs,https://www.linkedin.com/company/caremark-cvs,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2240936564%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CAREMARK LLC,CVS/Caremark,3084,40936564
caresource-management-group,https://in.linkedin.com/company/caresource-management-group,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2218255%22%2C%2282562785%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CARESOURCE MANAGEMENT SERVICES LLC,CareSource,3806,18255|82562785
rootinsuranceco,https://in.linkedin.com/company/rootinsuranceco,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2210334169%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CARET HOLDINGS INC D/B/A ROOT INC,Root Inc.,821,10334169
carfax,https://www.linkedin.com/company/carfax,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2210616%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CARFAX INC,CARFAX,1225,10616
cargill,https://in.linkedin.com/company/cargill,https://www.linkedin.com/search/results/people/?currentCompany=%5B%222678%22%2C%2212989680%22%2C%2274321%22%2C%22120416%22%2C%2241345%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CARGILL INCORPORATED,Cargill,69737,2678|12989680|74321|120416|41345
cargurus,https://www.linkedin.com/company/cargurus,https://www.linkedin.com/search/results/people/?currentCompany=%5B%22141203%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CARGURUS INC,CarGurus,1107,141203
carhartt,https://www.linkedin.com/company/carhartt,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2234585%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CARHARTT INC,Carhartt,2374,34585
carilion-clinic,https://www.linkedin.com/company/carilion-clinic,https://www.linkedin.com/search/results/people/?currentCompany=%5B%22162899%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CARILION SERVICES INC,Carilion Clinic,6528,162899
carl-zeiss-meditec,https://www.linkedin.com/company/carl-zeiss-meditec,https://www.linkedin.com/search/results/people/?currentCompany=%5B%226555%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CARL ZEISS MEDITEC INC,ZEISS Medical Technology,4052,6555
carlehealth,https://www.linkedin.com/company/carlehealth,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2229016%22%2C%2243737%22%2C%2263513816%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CARLE HEALTH CARE INC D/B/A CARLE,Carle Health,4459,29016|43737|63513816
carman-solutions-group,https://www.linkedin.com/company/carman-solutions-group,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2213758844%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CARMAN SOLUTIONS GROUP INC,Carman Solutions Group,19,13758844
carmax-auto-superstore-inc,https://www.linkedin.com/company/carmax-auto-superstore-inc,https://www.linkedin.com/search/results/people/?currentCompany=%5B%226006590%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CARMAX AUTO SUPERSTORES SVCS INC,Carmax Auto Superstore Inc,296,6006590
carmax,https://www.linkedin.com/company/carmax,https://www.linkedin.com/search/results/people/?currentCompany=%5B%22162901%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CARMAX ENTERPRISE SERVICES LLC CES,CarMax,14618,162901
carnegie-learning,https://www.linkedin.com/company/carnegie-learning,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2226624%22%2C%22135410%22%2C%2216315%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CARNEGIE LEARNING INC,Carnegie Learning,766,26624|135410|16315
carnegie-mellon-silicon-valley,https://in.linkedin.com/company/carnegie-mellon-silicon-valley,https://www.linkedin.com/search/results/people/?currentCompany=%5B%22389432%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CARNEGIE MELLON UNIV,CMU Silicon Valley,39,389432
carnival-corporation,https://www.linkedin.com/company/carnival-corporation,https://www.linkedin.com/search/results/people/?currentCompany=%5B%226977%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CARNIVAL CORPORATION,Carnival Corporation,2407,6977
carollo-engineers,https://www.linkedin.com/company/carollo-engineers,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2219349%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CAROLLO ENGINEERS INC,Carollo Engineers,1214,19349
carparts-com,https://www.linkedin.com/company/carparts-com,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2266964797%22%2C%22126860%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CARPARTS COM INC,CarParts.com,1009,66964797|126860
cricpa,https://www.linkedin.com/company/cricpa,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2267555%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CARR RIGGS & INGRAM LLC,"Carr, Riggs & Ingram",1838,67555
carrier-corporation,https://in.linkedin.com/company/carrier-corporation,https://www.linkedin.com/search/results/people/?currentCompany=%5B%222429%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CARRIER CORPORATION,Carrier HVAC,9605,2429
carvana,https://www.linkedin.com/company/carvana,https://www.linkedin.com/search/results/people/?currentCompany=%5B%223143455%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CARVANA LLC,Carvana,6826,3143455
casa-systems-inc-,https://www.linkedin.com/company/casa-systems-inc-,https://www.linkedin.com/search/results/people/?currentCompany=%5B%22136803%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CASA SYSTEMS INC,"Casa Systems, Inc.",591,136803
cascadefinancialservices,https://www.linkedin.com/company/cascadefinancialservices,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2216272209%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CASCADE FINANCIAL SERVICES,Cascade Financial Services,248,16272209
castcrew,https://www.linkedin.com/company/castcrew,https://www.linkedin.com/search/results/people/?currentCompany=%5B%22113134%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CAST & CREW PAYROLL LLC,Cast & Crew,1098,113134
castled-data,https://www.linkedin.com/company/castled-data,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2274877616%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CASTLED DATA INC,Castled,6,74877616
castleton-commodities-international,https://www.linkedin.com/company/castleton-commodities-international,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2247223%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CASTLETON COMMODITIES MANAGEMENT SERVICES LLC,Castleton Commodities International,545,47223
castlight-health,https://www.linkedin.com/company/castlight-health,https://www.linkedin.com/search/results/people/?currentCompany=%5B%22978813%22%2C%222402120%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CASTLIGHT HEALTH INC,Castlight Health,573,978813|2402120
catalina-marketing,https://www.linkedin.com/company/catalina-marketing,https://www.linkedin.com/search/results/people/?currentCompany=%5B%226133%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CATALINA MARKETING CORPORATION,Catalina USA,888,6133
caterpillar-inc,https://www.linkedin.com/company/caterpillar-inc,https://www.linkedin.com/search/results/people/?currentCompany=%5B%222622%22%2C%2226709%22%2C%222620%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CATERPILLAR INC,Caterpillar Inc.,47995,2622|26709|2620
catholic-health-initiative,https://www.linkedin.com/company/catholic-health-initiative,https://www.linkedin.com/search/results/people/?currentCompany=%5B%225457256%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CATHOLIC HEALTH INITIATIVES,Catholic Health Initiative,45,5457256
cav-computer-solutions-inc,https://www.linkedin.com/company/cav-computer-solutions-inc,https://www.linkedin.com/search/results/people/?currentCompany=%5B%228896145%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CAVE COMPUTER SOLUTION INC,CAV Computer Solutions Inc,2,8896145
cave-creek-unified-school-district,https://www.linkedin.com/company/cave-creek-unified-school-district,https://www.linkedin.com/search/results/people/?currentCompany=%5B%22288080%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CAVE CREEK UNIFIES SCHOOL DISTRICT NO 93,Cave Creek Unified School District,353,288080
cays-inc,https://www.linkedin.com/company/cays-inc,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2213617649%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CAYS INC,CAYS Inc.,54,13617649
cbiz-mhm-newengland,https://www.linkedin.com/company/cbiz-mhm-newengland/,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2227168456%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CBIZ ACCOUNTING TAX & ADVISORY OF NEW ENGLAND LLC,CBIZ & MHM New England,211,27168456
cbiz,https://www.linkedin.com/company/cbiz,https://www.linkedin.com/search/results/people/?currentCompany=%5B%226078%22%2C%221872292%22%2C%221730093%22%2C%22297380%22%2C%22357478%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CBIZ ACCOUNTING TAX ADVISORY OF SAN DIEGO LLC,CBIZ,3781,6078|1872292|1730093|297380|357478
cboe,https://www.linkedin.com/company/cboe,https://www.linkedin.com/search/results/people/?currentCompany=%5B%228805%22%2C%223211404%22%2C%2218725173%22%2C%2214633627%22%2C%2220452480%22%2C%2233273570%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CBOE GLOBAL MARKETS INC,Cboe Global Markets,1515,8805|3211404|18725173|14633627|20452480|33273570
cbre,https://in.linkedin.com/company/cbre,https://www.linkedin.com/search/results/people/?currentCompany=%5B%222319%22%2C%222896677%22%2C%222896668%22%2C%2216224255%22%2C%222896530%22%2C%222896683%22%2C%222896691%22%2C%222840895%22%2C%222896680%22%2C%222881769%22%2C%222954230%22%2C%222896670%22%2C%2248049%22%2C%222804424%22%2C%222828635%22%2C%223585660%22%2C%222659286%22%2C%223790664%22%2C%223585825%22%2C%22738809%22%2C%2210086080%22%2C%222320%22%2C%222315821%22%2C%221146409%22%2C%222896702%22%2C%223155515%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CBRE INC,CBRE,67606,2319|2896677|2896668|16224255|2896530|2896683|2896691|2840895|2896680|2881769|2954230|2896670|48049|2804424|2828635|3585660|2659286|3790664|3585825|738809|10086080|2320|2315821|1146409|2896702|3155515
cbs-interactive,https://www.linkedin.com/company/cbs-interactive,https://www.linkedin.com/search/results/people/?currentCompany=%5B%22268213%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CBS INTERACTIVE INC,CBS Interactive,1209,268213
ccc-information-services,https://in.linkedin.com/company/ccc-information-services,https://www.linkedin.com/search/results/people/?currentCompany=%5B%22162929%22%2C%22367877%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CCC INTELLIGENT SOLUTIONS INC,CCC Intelligent Solutions,2132,162929|367877
heath-corporation,https://www.linkedin.com/company/heath-corporation,https://www.linkedin.com/search/results/people/?currentCompany=%5B%22756388%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CDH P C,"CDH, PC",2,756388
cdi-solutions,https://www.linkedin.com/company/cdi-solutions,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2276582712%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CDI SOLUTIONS INC,CDI Solutions,25,76582712
cdmsmith,https://www.linkedin.com/company/cdmsmith,https://www.linkedin.com/search/results/people/?currentCompany=%5B%22162940%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CDM SMITH INC,CDM Smith,6488,162940
cdw,https://www.linkedin.com/company/cdw,https://www.linkedin.com/search/results/people/?currentCompany=%5B%223334%22%2C%223007190%22%2C%2215176083%22%2C%2268905%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CDW LLC,CDW,13671,3334|3007190|15176083|68905
cedar-inc.,https://www.linkedin.com/company/cedar-inc.,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2210988174%22%2C%2218298288%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CEDAR CARES INC DBA CEDAR,Cedar,603,10988174|18298288
cedars-sinai-medical-center,https://www.linkedin.com/company/cedars-sinai-medical-center,https://www.linkedin.com/search/results/people/?currentCompany=%5B%227508%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,CEDARS SINAI MEDICAL CENTER,Cedars-Sinai,13094,7508
